laptop_names,laptop_ids,laptop_moneys,laptop_chips,laptop_memories,laptop_storages,laptop_video_cards
Laptop Asus Gaming ROG Strix G533ZS-LN036W i9 12900H/32GB/2TB/15.6''WQHD/NVIDIA RTX3080 8GB/Win11,(No.00892850),49.990.000,Intel Core i9 12900H,32  (2 thanh 16 ) DDR5 4800 MHz,SSD 2 TB,NVIDIA GeForce RTX 3080 8GB
Laptop Asus Zenbook Pro UX6404VV-P4069W i9 13900H/32GB/1TB/14.5” 2.8K/Nvidia RTX 4060 8GB/Win11,(No.00883763),49.490.000,Intel Core i9 13900H,32  (2 thanh 16 ) DDR5 4800 MHz,SSD 1 TB,NVIDIA GeForce RTX 4060 8GB; Intel UHD Graphics
"Laptop Microsoft Surface Pro 9 i7 1255U/16GB/256GB/13"" Touchscreen/Win11",(No.00881869),43.990.000,Intel Core i7 1255U,16  (1 thanh 16 ) DDR5 4800 MHz,SSD 256,Intel Iris Xe Graphics
Laptop Asus Gaming ROG Zephyrus GU603VU-N3898W i7 13620H/16G/512GB/16''/Nvidia RTX 4050 6GB/Win11,(No.00881890),39.990.000,Intel Core i7 13620H,16  (1 thanh 16 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel Iris Xe Graphics
"Laptop Acer Predator Helios Neo Gaming PHN16-71-7460 i7 13700HX/8GB/512GB/16""WQXGA/RTX4050/Win11",(No.00881834),38.990.000,Intel Core i7 13700HX,8  (1 thanh 8 ) DDR5 4800 MHz,SSD 512,NVIDIA GeForce RTX 4050 6GB GDDR6
MacBook Air 15 M2 2023 8CPU 10GPU/8GB/512GB/Sạc 70W,(No.00894744),37.890.000,Apple M2 8 - Core,8  Hãng không công bố Hãng không công bố MHz,SSD 512,Apple M2 GPU 10 nhân
Laptop Asus Gaming ROG Strix G513RW-HQ152W R9-6900HX/16GB/1TB/Nvidia RTX 3070Ti 8GB/Win11,(No.00883760),36.990.000,AMD Ryzen 9 6900HX,16  (1 thanh 16 ) DDR5 4800 MHz,SSD 1 TB,NVIDIA GeForce RTX 3070 Ti 8GB
MacBook Air 15 inch M2 2023 8CPU 10GPU 16GB/256GB,(No.00882189),36.490.000,Apple M2 8 - Core,16  Hãng không công bố Hãng không công bố,SSD 256,Apple M2 GPU 10 nhân
MacBook Pro 13 inch M2 2022 8CPU 10GPU 16GB/256GB,(No.00819893),35.490.000,Apple M2 8 - Core,16  LPDDR4 3200 MHz,SSD 256,Apple M2 GPU 10 nhân
"Laptop LG Gram 14Z90R-G.AH75A5 i7 1360P/16G/512G/14""WUXGA/Win11",(No.00883090),35.000.000,Intel Core i7 1360P,16,SSD 512,Intel Iris Xe Graphics
"Laptop Lenovo Gaming Legion 5 Pro 16ARH7H R7 6800H/16GB/512GB/16""/Nvidia RTX 3060 6GB/Win 11",(No.00900730),44.490.000,AMD Ryzen 7 6800H,16  (2 thanh 8 ) DDR5 4800 MHz,SSD 512,NVIDIA GeForce RTX 3060 6GB; AMD Radeon Graphics
MacBook Air 13 inch M2 2022 8CPU 8GPU 16GB/256GB,(No.00824329),31.690.000,Apple M2 8 - Core,16  LPDDR4 3200 MHz,SSD 256,Apple M2 GPU 8 nhân
MacBook Air 15 inch M2 2023 8CPU 10GPU 8GB/256GB,(No.00881927),31.490.000,Apple M2 8 - Core,8  Hãng không công bố Hãng không công bố,SSD 256,Apple M2 GPU 10 nhân
"Laptop Asus Zenbook Flip UP3404VA-KN039W i7 1360P/16GB/512GB/14"" OLED Touch/Win11",(No.00890477),30.490.000,Intel Core i7 1360P,16  DDR5 LPDDR5 4800 MHz,SSD 512,Intel UHD Graphics 605
MacBook Pro 13 inch M2 2022 8CPU 10GPU 8GB/256GB,(No.00818154),29.890.000,Apple M2 8 - Core,8  LPDDR4 3200 MHz,SSD 256,Apple M2 GPU 10 nhân
"Laptop Gigabyte Gaming Aorus 15 9MF-E2VN583SH i5 12500H/8GB/512GB/15.6""FHD/Nvidia RTX 4050 6GB/Win11",(No.00882675),28.990.000,Intel Core i5 12500H,8  (1 thanh 8 ) DDR5 4800 MHz,SSD 512,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel Iris Xe Graphics
